unix,date,symbol,open,high,low,close,Volume SOL,Volume USD
1.65427E+12,6/3/2022 16:00,SOL/USD,38.054,38.915,35.715,37.788,126992.723,4798801.016799576
1.65423E+12,6/3/2022 4:00,SOL/USD,41.091,41.091,35.715,36.179,68772.19505,2488109.244605413
1.65419E+12,6/2/2022 16:00,SOL/USD,40.64,41.587,37.647,38.054,84687.19884,3222686.6644670903
1.65414E+12,6/2/2022 4:00,SOL/USD,38.805,41.587,38.128,41.091,114610.0242,4709440.5025120145
1.6541E+12,6/1/2022 16:00,SOL/USD,42.939,43.054,38.128,40.64,179584.4249,7298311.027
1.65406E+12,6/1/2022 4:00,SOL/USD,44.759,45.635,38.7,38.805,137376.271,5330886.196
1.65401E+12,5/31/2022 16:00,SOL/USD,46.28,46.762,42.832,42.939,64896.44669,2786588.524293093
1.65397E+12,5/31/2022 4:00,SOL/USD,47.602,47.779,44.567,44.759,72692.90096,3253661.554247676
1.65393E+12,5/30/2022 16:00,SOL/USD,45.829,48.339,44.567,46.28,112052.5857,5185793.666
1.65388E+12,5/30/2022 4:00,SOL/USD,45.896,48.339,44.941,47.602,121504.4107,5783852.9599978775
1.65384E+12,5/29/2022 16:00,SOL/USD,44.664,47.331,44.05,45.829,109725.4149,5028606.04
1.6538E+12,5/29/2022 4:00,SOL/USD,42.355,46.654,41.794,45.896,97348.0187,4467884.666
1.65375E+12,5/28/2022 16:00,SOL/USD,42.946,45.555,41.794,44.664,103834.1286,4637647.518093168
1.65371E+12,5/28/2022 4:00,SOL/USD,41.316,44.989,41.062,42.355,100598.943,4260868.229113154
1.65367E+12,5/27/2022 16:00,SOL/USD,42.1,43.439,40.332,42.946,126396.9602,5428243.852276794
1.65362E+12,5/27/2022 4:00,SOL/USD,42.659,43.642,39.957,41.316,308421.5327,12742744.043050034
1.65358E+12,5/26/2022 16:00,SOL/USD,45.1,46.593,39.957,42.1,335830.59,14138467.839336801
1.65354E+12,5/26/2022 4:00,SOL/USD,48.114,48.114,41.197,42.659,58089.81723,2478053.513385206
1.65349E+12,5/25/2022 16:00,SOL/USD,48.214,49.076,41.704,45.1,204647.1906,9229588.295
1.65345E+12,5/25/2022 4:00,SOL/USD,50.274,50.274,47.85,48.114,3264.978339,157091.16780264597
1.65341E+12,5/24/2022 16:00,SOL/USD,50.048,50.8,47.536,48.214,64329.27545,3101571.686594514
1.65336E+12,5/24/2022 4:00,SOL/USD,49.843,50.8,47.088,50.274,82670.8863,4156196.138047296
1.65332E+12,5/23/2022 16:00,SOL/USD,53.802,54.351,47.088,50.048,83569.08209,4182465.4202901763
1.65328E+12,5/23/2022 4:00,SOL/USD,52.158,54.583,48.562,49.843,87928.33364,4382611.933718206
1.65324E+12,5/22/2022 16:00,SOL/USD,51.692,54.583,51.138,53.802,70242.68489,3779196.9322365723
1.65319E+12,5/22/2022 4:00,SOL/USD,50.114,53.163,49.679,52.158,33923.95289,1769405.5349930942
1.65315E+12,5/21/2022 16:00,SOL/USD,50.699,52.802,49.461,51.692,27178.22175,1404896.638597616
1.65311E+12,5/21/2022 4:00,SOL/USD,50.043,51.143,48.941,50.114,20967.38744,1050759.654067932
1.65306E+12,5/20/2022 16:00,SOL/USD,49.353,50.712,47.832,50.699,41834.40038,2120962.265017717
1.65302E+12,5/20/2022 4:00,SOL/USD,51.479,53.581,47.832,50.043,73100.85121,3658185.897051987
1.65298E+12,5/19/2022 16:00,SOL/USD,53.225,53.581,49.269,49.353,67261.91976,3319577.525865927
1.65293E+12,5/19/2022 4:00,SOL/USD,50.546,54,48.237,51.479,66193.87192,3407594.332621159
1.65289E+12,5/18/2022 16:00,SOL/USD,50.384,54,48.213,53.225,72451.19799,3856215.0127516254
1.65285E+12,5/18/2022 4:00,SOL/USD,55.04,56.148,48.213,50.546,60860.52208,3076255.949
1.6528E+12,5/17/2022 16:00,SOL/USD,55.144,57.804,49.7,50.384,73506.95303,3703574.3212115997
1.65276E+12,5/17/2022 4:00,SOL/USD,55.831,58.168,53.018,55.04,80987.04755,4457527.097
1.65272E+12,5/16/2022 16:00,SOL/USD,53.223,58.168,52.271,55.144,94165.40203,5192656.93
1.65267E+12,5/16/2022 4:00,SOL/USD,56.036,56.335,51.867,55.831,93362.63472,5212529.259163982
